Phenotypes (0-0.005 >0.005-0.1 >0.1-0.2 >0.2-0.3 >0.3-0.4 >0.4-0.5)
UK_Indian 0.838274753299 0.0377425435192 0.0504712274088 0.0295376427542 0.0211553387293 0.0228184942898
Afro-Asiatic_Cushitic 0.803281960306 0.0616698081827 0.0493624570351 0.0363898436634 0.0261669808183 0.0231289499945
European_center 0.849539860295 0.0387404368555 0.0374542632221 0.0263665594855 0.0260339283734 0.0218649517685
East_Asian 0.855660272758 0.0305798869054 0.0363898436634 0.0276305577115 0.0235946335514 0.0261448054108
European_USA 0.846900986806 0.036278966626 0.0416897660495 0.0298259230513 0.0233728794767 0.0219314779909
Niger_Congo_West 0.785497283513 0.0636877702628 0.0665262224193 0.0324869719481 0.0295154673467 0.0222862845105
Latin_American 0.845703514802 0.0367224747755 0.0412240824925 0.0312007983147 0.0231954762169 0.0219536533984
Khoe-San 0.789400155228 0.0547732564586 0.0636212440404 0.0421332741989 0.0273644528218 0.0227076172525
African-Caribbean 0.782414901874 0.0695420778357 0.0619802638873 0.0341501275086 0.0297815722364 0.0221310566582
Afro-Asiatic_Omotic 0.809557600621 0.0465018294711 0.061403703293 0.032154340836 0.0276305577115 0.0227519680674
South_African_ACL 0.103001067587 0.103735645988 0.243585031764 0.225691751314 0.176373090271 0.147613413075
African-American 0.79623018073 0.0629559818162 0.0575673578002 0.0336179177292 0.0274531544517 0.0221754074731
USA_Indian 0.843774254352 0.0357911076616 0.048697194811 0.0262778578556 0.0227963188824 0.0226632664375
European_North 0.850293824149 0.033795320989 0.0397383301918 0.0322873932809 0.0232398270318 0.0206453043575
European_South 0.84922940459 0.0347488635104 0.0405144694534 0.0278301363788 0.0261004545959 0.0215766714713
Niger-Congo_Bantu_South 0.772302916066 0.0709834793214 0.065528329083 0.0390065417452 0.0292271870496 0.0229515467347
South_Asian 0.841933695532 0.0386739106331 0.0480319325868 0.0279853642311 0.0229071959197 0.0204679010977
Afro-Asiatic_Semitic 0.823794212219 0.0421776250139 0.0490076505156 0.0367446501829 0.023106774587 0.025169087482
